window,extra_2,unique_users
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2379864.,23
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2330955.,13
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2718241.,8
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2170543.,13
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2378686.,20
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2862175.,15
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2741766.,16
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2157892.,19
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2390146.,9
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2985564.,11
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2426426.,10
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2517375.,16
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2057617.,12
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2951967.,9
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2597245.,4
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2600663.,5
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2957238.,8
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2430726.,1
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2390221.,2
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2418528.,1
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2026370.,9
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2702527.,8
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2661047.,13
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2838797.,18
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2988585.,7
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2408099.,15
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2400868.,8
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2508249.,10
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2634178.,23
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2614705.,9
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2437499.,21
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2554688.,15
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2144813.,10
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2601499.,7
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2190345.,4
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2127648.,6
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2565576.,6
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2325498.,6
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2507631.,2
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2962549.,5
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2710895.,1
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2176756.,11
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2733699.,10
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2147955.,10
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2507094.,12
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2315785.,19
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2573570.,7
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2126105.,8
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2703863.,13
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2042796.,13
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2998536.,5
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2514616.,20
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2227726.,10
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2674745.,5
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2962177.,2
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2067319.,2
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2461316.,2
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2260098.,4
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2819922.,11
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2716265.,6
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2059588.,8
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2054765.,18
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2923890.,21
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2611319.,14
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2787899.,8
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2831735.,10
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2733291.,19
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2833669.,6
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2221310.,17
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2310422.,6
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2344068.,4
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2071467.,2
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2345438.,1
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2715992.,11
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2284509.,20
